rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
5476,Avoid container filled with rubbish (4),SKIP,Avoid/container filled with rubbish,19d,2021-04-19,QC 1855,https://times-xwd-times.livejournal.com/2523100.html,times_xwd_times
5477,Fortune invested in clothing (3),LOT,Fortune,21d,2021-04-19,QC 1855,https://times-xwd-times.livejournal.com/2523100.html,times_xwd_times
5478,"Son, upper-class type, and bishop needing no work to become snooty (8)",SNOBBISH,snooty,1a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5479,Imitate policeman going to Yard (4),COPY,Imitate,6a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5480,Some editor-in-chief is calling regarding the Treasury (6),FISCAL,regarding the Treasury,8a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5481,Discover truth about complaint – not good (6),RUMBLE,Discover truth,9a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5482,Get a sense of payment left (4),FEEL,Get a sense of,10a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5483,"Item for discussion is not quite lacking it, somehow (8)",QUESTION,Item for discussion,11a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5484,Criminal attempt recalled in regret (5),ROGUE,Criminal,12a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5485,One of Snow White’s dwarfs very quietly brought in grass (5),HAPPY,One of Snow White’s dwarfs,13a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5486,A quiet intermission around end of recital – then this erupts? (8),APPLAUSE,A quiet intermission around end of recital – then this erupts?,15a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5487,Space programme’s latest?  Look amazed (4),GAPE,Look amazed,17a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5488,One of the birds or bats (6),CUCKOO,One of the birds/bats,19a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5489,Follow poster used in display (6),SHADOW,Follow,20a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5490,"Meaningless, largely empty confusion (4)",MESS,confusion,21a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5491,It helps one observe end of alluring girl linked to 007? (8),SPYGLASS,It helps one observe,22a,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5492,"I will interrupt passage in church, being artless (5)",NAIVE,artless,2d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5493,Support record showing work not yet completed (7),BACKLOG,showing work not yet completed,3d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5494,"Unwell still, though losing stone (3)",ILL,Unwell,4d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5495,Last pair of gardeners in gardens attack the weeds?  That’s a lucky thing(9),HORSESHOE,That’s a lucky thing,5d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5496,Company gathered together to find astronomical object (5),COMET,astronomical object,6d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5497,"Ridicule medicine, or remedy, finally (7)",PILLORY,Ridicule,7d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5498,Peevish Queen reformed rule over America (9),QUERULOUS,Peevish,11d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5499,Criticise return of routine: source of eventual happiness (7),RAPTURE,happiness,12d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5500,Variety of plait seen around one girl’s head? (7),PIGTAIL,Variety of plait seen around one girl’s head?,14d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5501,Stories about King making responses on social media (5),LIKES,responses on social media,16d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5502,"Religious in abundance, but dismissing heads of Catholic order (5)",PIOUS,Religious,18d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5503,"Speak, for example (3)",SAY,Speak/for example,20d,2020-12-24,Times Quick Cryptic No 1773,https://times-xwd-times.livejournal.com/2461097.html,times_xwd_times
5504,"Jokes about youth, Republican, in best clothes (4,4)",GLAD RAGS,best clothes,1a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5505,To go by hand (4),PASS,To go by/hand,5a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5506,Oxygen required by huge Greek character (5),OMEGA,Greek character,8a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5507,Tell North American bishop worried (7),NARRATE,Tell,9a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5508,"Play in lieu — it's okay for a change (2,3,4,2)",AS YOU LIKE IT,Play,11a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5509,More damaged in centre of Montreal quake (6),TREMOR,quake,13a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5510,Shopkeeper sounds more repulsive (6),GROCER,Shopkeeper,14a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5511,Prisoner given a short time in church to reflect (11),CONTEMPLATE,to reflect,17a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5512,Less colourful second city of Italy (7),PALERMO,city of Italy,20a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5513,Love encapsulated by one obscure turn of phrase (5),IDIOM,turn of phrase,21a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5514,"Sisters seen in Vatican, unsurprisingly (4)",NUNS,Sisters,22a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5515,Horse disease is shocking (8),STAGGERS,Horse disease/is shocking,23a,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5516,"Good base, light (4)",GLOW,light,1d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5517,"Mean to declare silver, English (7)",AVERAGE,Mean,2d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5518,Like some clothes we dare a Tory to change into (5-2-4),READY TO WEAR,Like some clothes,3d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5519,"Wizard, one in class (6)",GENIUS,Wizard,4d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5520,"Wow, a labyrinth! (5)",AMAZE,Wow,6d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5521,"Appreciates sailors suffer as result of severe blow? (3,5)",SEE STARS,suffer as result of severe blow,7d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5522,Forcing through barrier across thoroughfare (11),RAILROADING,Forcing through,10d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5523,Fix on pinafore originally trendy brooch (8),STICKPIN,brooch,12d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5524,Loose dress: hem is dropped in church (7),CHEMISE,Loose dress,15d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5525,Shoot king in jet (6),SPROUT,Shoot,16d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5526,Synthetic material in name only abroad (5),NYLON,Synthetic material,18d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5527,Prophet captured by Grandma Moses (4),AMOS,Prophet,19d,2016-12-14,Quick Cryptic 722,https://times-xwd-times.livejournal.com/1647273.html,times_xwd_times
5528,"Drawer closed, fighting to grab book (6)",TOWBAR,Drawer,1a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5529,"International team’s way to win, holding firm (8)",SCOTLAND,International team,4a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5530,"Romantic and tender, disturbed by one kiss (7)",QUIXOTE,Romantic,10a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5531,"Champion after bronze, failing (7)",TANKING,failing,11a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5532,"Artist encountered in street, typically (4)",ETTY,Artist,12a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5533,Handle nothing but risqué plays (10),SOUBRIQUET,Handle,13a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5534,"Ordinary fellow’s English journal commandeered by Trots (3,6)",JOE BLOGGS,Ordinary fellow,15a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5535,"Bit of a bloomer, being as far as possible from NW China? (5)",SEPAL,Bit of a bloomer,16a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5536,Separate set of countries with private code (5),UNPIN,Separate,18a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5537,Lad in trouble with censor that’s pardoned slave (9),ANDROCLES,pardoned slave,19a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5538,Servants emerging from shadows with forms (10),DOGSBODIES,Servants,21a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5539,Prejudice from another time restricting author initially (4),BIAS,Prejudice,23a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5540,Not exactly promising more staff (7),CROSIER,staff,26a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5541,Second buffoon given gold watch (7),MONITOR,watch,27a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5542,"No longer have desire to score points (4,4)",DROP GOAL,score points,28a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5543,"Army commanders, with informal agreement, are ingratiating (4,2)",COSY UP,are ingratiating,29a,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5544,Sending up of books in French that is old hat (5),TOQUE,old hat,1d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5545,"A wide step, moving up to the middle (5-4)",WAIST-DEEP,up to the middle,2d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5546,Confess to a vice — at first it hurts (4),AVOW,Confess to,3d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5547,German city’s constant public transport curbing excessive (7),COTTBUS,German city,5d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5548,"She’s into wandering about in French sportswear (6,4)",TENNIS SHOE,sportswear,6d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5549,I’m going to pass on gold rings (5),ADIEU,I’m going,7d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5550,"Enjoy everything, almost, connected with one’s plant (9)",DIGITALIS,plant,8d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5551,Take some time to get fit (6),BELONG,fit,9d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5552,"Flash twin waffling, suffering from loss of memory (5-5)",BLING-BLING,Flash,14d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5553,German we agree not cut up but resentful (9),JAUNDICED,resentful,15d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5554,Mean to retain notes for future reading (9),PALMISTRY,future reading,17d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5555,Small nation not forgetting ordinary men in military academy (7),ANDORRA,Small nation,19d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5556,Fancied a small drink around start of extra time (6),DREAMT,Fancied,20d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5557,"I like that treacly stuff, cook! (4-1)",GOOD-O,like that,22d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5558,Pet / that barber keeps (5),STROP,Pet/that barber keeps,24d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5559,News concerning most of Ulster sent up (4),INFO,News,25d,2017-12-12,Times Cryptic 26906,https://times-xwd-times.livejournal.com/1858849.html,times_xwd_times
5560,Novel style of energy weapon — disintegrating ray (10),EPISTOLARY,Novel style,1a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5561,Pay due regard to board (4),KEEP,Pay due regard to,6a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5562,Ship’s front that takes a long time to pass (7),GALLEON,Ship,10a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5563,Support for line I found in European capital mostly — about time (7),VIADUCT,Support for line,11a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5564,Dog suffering modern ban (9),DOBERMANN,Dog,12a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5565,Pensioner storing it around courtyard (5),PATIO,courtyard,13a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5566,Country having a thousand Polish perhaps returning (5),BURMA,Country,14a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5567,Awkward relative — bachelor that may be turned away (9),AVERTIBLE,that may be turned away,15a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5568,Every European run mostly loaded with hidden imports? (9),ALLEGORIC,with hidden imports,17a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5569,Accepted statement from a football team over millions (5),AXIOM,Accepted statement,20a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5570,Strangely stark limestone landscape (5),KARST,limestone landscape,21a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5571,Vision of some past foxtrot champion retaining beat (9),FLASHBACK,Vision of some past,23a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5572,A fine story and easy to relate to (7),AFFABLE,easy to relate to,25a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5573,The answer to this clue should fit the light (7),GLAZIER,,26a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5574,Acute range of knowledge about Earth’s origin (4),KEEN,Acute,27a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5575,"What’s used for draught in county hospital or site left empty (5,5)",SHIRE HORSE,What’s used for draught,28a,2021-05-27,Times 27988,https://times-xwd-times.livejournal.com/2544109.html,times_xwd_times
5576,Bad carrying on with a criminal (7),ILLEGAL,criminal,1a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5577,A route abroad (4),AWAY,abroad,5a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5578,Article by female supporter (3),FAN,supporter,7a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5579,Strange crest dividing a New York family (8),ANCESTRY,family,8a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5580,Look after harbour (5),NURSE,Look after/harbour,10a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5581,Training in it out at sea (7),TUITION,Training,11a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5582,Number picked up by remote Scottish town (6),FORFAR,Scottish town,13a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5583,Group round bar suffering reversal in game (6),TENNIS,game,15a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5584,Remainder live around university (7),RESIDUE,Remainder,17a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5585,"Man, crook (5)",STAFF,Man/crook,18a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5586,Horse: lad astride big one (8),STALLION,Horse,20a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5587,Standard cut reduced (3),PAR,Standard,22a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5588,Joke made by judge is French (4),JEST,Joke,23a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5589,Rot in heart of beech and another couple of trees (7),EYEWASH,Rot,24a,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5590,"Performing very well at home, showing class after penalty (2,4,4)",IN FINE FORM,Performing very well,1d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5591,Band on river vessel (5),LINER,vessel,2d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5592,Adorn country mansion where the “King” lived (9),GRACELAND,mansion where the “King” lived,3d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5593,Find the Parisian sheltering old domestic pet (6),LOCATE,Find,4d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5594,Wally in the role of head of state (3),ASS,Wally,5d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5595,Call to account US soldier over in Scottish isle (7),ARRAIGN,Call to account,6d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5596,"Also short of rum, et cetera (3,2,5)",AND SO FORTH,et cetera,9d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5597,"Popular extract, basically (2,7)",IN ESSENCE,basically,12d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5598,"Originally, over in New Street finds badge (7)",ROSETTE,badge,14d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5599,Extremely furtive row of cats (6),FELINE,of cats,16d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5600,Greek character in hotel in mountain area (5),ALPHA,Greek character,19d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5601,Rent part of vaudeville theatre (3),LET,Rent,21d,2020-11-12,Times Quick Cryptic No 1743,https://times-xwd-times.livejournal.com/2438264.html,times_xwd_times
5602,Cheat black American — drink outside rear of hotel (9),BAMBOOZLE,Cheat,1a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5603,Composer has change of heart seeing German river (5),WESER,German river,6a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5604,Dark end of mall in part of industrial estate (5),UNLIT,Dark,9a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5605,"Petty thief left with dangerous criminal, we hear (9)",LARCENIST,Petty thief,10a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5606,"Those honourably discharged, one after army corps backed appeal (7)",EMERITI,Those honourably discharged,11a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5607,Variable bit of punk now neglected (7),UNKNOWN,Variable,12a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5608,"Riding fan got on badly, moving back and forth (5,3,6)",TOING AND FROING,moving back and forth,13a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5609,"Amphibious troops choose to cut men in charge, producing power (14)",THERMOELECTRIC,producing power,17a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5610,Fashion associated with posh doctor occasioning offence (7),UMBRAGE,offence,21a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5611,Something positive about Ben’s element (7),SULPHUR,element,23a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5612,Understanding crowd (9),GATHERING,Understanding/crowd,25a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5613,Bitter account to deliver! (5),ACRID,Bitter,26a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5614,Suspect youth leader replacing drug in Kansas City? (5),DODGY,Suspect,27a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5615,Terrible shortage limiting introduction of powerful ammo once (9),GRAPESHOT,ammo once,28a,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5616,Dark-haired beast going around trap (8),BRUNETTE,Dark-haired,1d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5617,"Skirmish in Maine, on the sheltered side (5)",MELEE,Skirmish,2d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5618,"Blooming ordeal reportedly, projecting beam (9)",OUTRIGGER,projecting beam,3d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5619,Unspecified multitude laid up in the heavenly city? (7),ZILLION,Unspecified multitude,4d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5620,Organ very loud? Musicians’ Union installed protection for listener (7),EARMUFF,protection for listener,5d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5621,"Create run, wanting to be outside (5)",WREAK,Create,6d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5622,Sniper who shot one with floating assets? (9),SHIPOWNER,one with floating assets,7d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5623,Appraising man on board … (6),RATING,Appraising/man on board,8d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5624,"… occupied fellow, initially wearing monk’s apparel (9)",INHABITED,occupied,14d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5625,Outstanding Liverpudlian singer primarily tackling early swing (9),OSCILLATE,swing,15d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5626,Approve current review newspaper boss accepted (8),ACCREDIT,Approve,16d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5627,Opportunity created by old writer in Greek capital (7),OPENING,Opportunity,18d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5628,The Spanish commander consuming new Italian dish (7),LASAGNA,Italian dish,19d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5629,"Strong-featured, and wearing a wig? (6)",RUGGED,Strong-featured/wearing a wig,20d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5630,Take-off always including elevated material (5),APERY,Take-off,22d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5631,Stern leader of regiment entering mess (5),HARSH,Stern,24d,2019-11-13,Times 27507,https://times-xwd-times.livejournal.com/2238810.html,times_xwd_times
5632,"Crazed stabber cuts seat without thinking, OK (6-5)",RUBBER-STAMP,"without thinking, OK",1a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5633,Olympic site secured by Pole in charge after cruel treatment? (11),MASOCHISTIC,after cruel treatment?,7a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5634,"Requirement for telling computer how to detect orator's plagiarism? (6,11)",SPEECH RECOGNITION,Requirement for telling computer,13a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5635,Recalled games with the woman leading mindless followers (5),SHEEP,mindless followers,14a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5636,Unashamed sexy person's trick (6),OUTFOX,trick,15a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5637,Winds blowing strongly through shelter seen in fine print? (8),LEGALESE,seen in fine print?,16a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5638,"Some beware voyages, returning in dismay (7)",OVERAWE,dismay,17a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5639,Men only come again with one providing a change of scenery (9),STAGEHAND,one providing a change of scenery,19a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
